Date,Open,High,Low,Close,Adj Close,Volume
9/24/2013,186.5,188.5,184,184.5,155.911392,8197600
9/25/2013,185,186,182.5,186,157.178894,10218800
9/26/2013,184.5,187,183.5,183.5,155.066315,6296700
9/27/2013,185,185.5,182,182,153.798752,4196000
9/30/2013,179,179,175,175,147.883423,7958800
10/1/2013,176,180.5,175,180,152.108658,8600400
10/2/2013,177,178.5,175,177,149.573517,10702000
10/3/2013,178,181,177.5,180,152.108658,11844200
10/4/2013,178.5,179,175.5,177,149.573517,8595000
10/7/2013,176,177,175,175,147.883423,6627800
10/8/2013,175,177.5,174,177.5,149.996033,8450400
10/9/2013,177.5,179,176.5,178.5,150.841064,5335300
10/10/2013,179,185,178,185,156.333862,12856000
10/11/2013,189,189,186,188,158.869049,12071600
10/14/2013,186,188,183.5,187,158.023972,5606900
10/15/2013,189,190.5,188,190,160.559143,8634700
10/16/2013,189.5,191.5,189.5,190,160.559143,6562800
10/17/2013,190,190.5,187.5,188,158.869049,9208000
10/18/2013,189,192.5,187.5,192.5,162.671738,10570800
10/21/2013,191.5,191.5,183,185.5,156.756439,9831600
10/22/2013,185.5,186.5,183,185,156.333862,10058400
10/24/2013,184.5,186.5,183,186.5,157.601471,8074900
10/25/2013,186,186.5,184,186,157.178894,5604800
10/28/2013,186.5,187.5,184.5,186,157.178894,5346900
10/29/2013,185.5,186.5,184.5,185.5,156.756439,2874500
10/30/2013,185.5,185.5,183,184,155.488831,6186400
10/31/2013,183,190,182.5,190,160.559143,8828100
11/1/2013,187.5,187.5,184,185.5,156.756439,9000400
11/4/2013,184,185.5,180,180,152.108658,6494300
11/5/2013,181.5,186,181.5,184.5,155.911392,6078500
11/6/2013,186,189.5,184,186,157.178894,9072200
11/7/2013,189.5,189.5,185,186,157.178894,10712300
11/8/2013,184.5,186,183.5,184.5,155.911392,5965600
11/11/2013,180,185,180,185,156.333862,6113200
11/12/2013,186.5,187.5,183.5,183.5,155.066315,5631000
11/13/2013,181.5,184,181,181.5,153.37619,7368000
11/14/2013,182,184.5,182,182.5,154.221252,2802800
11/15/2013,183.5,184.5,182,183,154.643784,3768500
11/18/2013,183,184,181.5,182,153.798752,5005400
11/19/2013,181,182,179,180,152.108658,6919200
11/20/2013,181,182.5,177.5,180.5,152.531158,7929100
11/21/2013,178,178.5,172.5,173,146.193329,12432700
11/22/2013,172,174,170,171,144.503189,9990700
11/25/2013,171,174,171,172.5,145.770798,7753400
11/26/2013,171,173,170,171,144.503189,15284400
11/27/2013,170.5,172,170,171,144.503189,10488400
11/28/2013,171,172,168,168,141.968063,10194100
11/29/2013,167,170,165.5,169,142.813126,8168400
12/2/2013,167,168,164,166.5,140.700531,12280800
12/3/2013,166,170.5,165.5,168,141.968063,17011100
12/4/2013,167.5,169,167.5,167.5,141.545563,6243700
12/6/2013,166,167,164,166.5,140.700531,9799700
12/9/2013,168,168.5,166,166,140.277969,7615700
12/11/2013,165.5,168,165.5,167,141.123016,7985700
12/12/2013,167,168.5,166,167,141.123016,6938000
12/13/2013,166.5,168.5,165,167,141.123016,9280000
12/16/2013,166.5,168,165.5,168,141.968063,3692000
12/17/2013,169,169.5,167,168.5,142.390579,5363400
12/18/2013,169.5,172.5,169,171.5,144.925705,8780300
12/19/2013,172.5,173.5,171,171.5,144.925705,4759900
12/20/2013,171,171.5,167,169,142.813126,4710500
12/23/2013,169,169.5,163.5,164.5,139.010422,10166500
12/24/2013,166,167,164.5,165,139.432907,2801200
12/25/2013,165,166.5,165,166,140.277969,1145000
12/26/2013,165.5,166.5,159.5,160,135.207718,9804700
12/27/2013,159.5,160,156,156,131.827499,11569900
1/2/2014,157,160,145.5,145.5,122.954483,17348400
1/3/2014,146.5,152,146.5,151,127.602257,14007700
1/6/2014,151.5,157.5,148.5,157,132.672562,17816000
1/7/2014,158,162,156,162,136.897797,11880600
1/8/2014,162.5,164,160,162,136.897797,16142600
1/9/2014,162,163,160.5,161.5,136.475266,7663000
1/10/2014,158,161.5,157,160,135.207718,11389100
1/13/2014,158.5,164,158,164,138.58786,12876000
1/14/2014,162.5,165,162,164,138.58786,8240000
1/15/2014,163,164,160.5,160.5,135.630203,6343000
1/16/2014,161,166.5,161,166,140.277969,8592600
1/17/2014,167,168,165,168,141.968063,11353500
1/20/2014,166,166.5,165,165.5,139.855453,7905800
1/21/2014,167,170,166,169,142.813126,9703400
1/22/2014,166,172.5,166,170,143.658142,16678500
1/23/2014,170.5,175.5,168.5,175,147.883423,15166700
1/24/2014,175.5,176.5,174,175.5,148.305923,9651900
1/27/2014,171.5,172.5,170.5,171.5,144.925705,10572200
1/28/2014,170,170.5,168.5,169.5,143.235657,11195600
1/29/2014,170,172,168.5,170,143.658142,5839800
1/30/2014,168,171,167.5,171,144.503189,11221000
1/31/2014,170,170.5,169.5,170,143.658142,6517100
2/3/2014,171.5,172,169.5,170.5,144.080688,8878400
2/4/2014,168.5,169,165,166,140.277969,9187700
2/5/2014,167,169,166.5,169,142.813126,7509500
2/6/2014,169,169.5,167.5,168,141.968063,8002000
2/7/2014,169,169,167,167.5,141.545563,5333300
2/10/2014,168,168.5,165.5,165.5,139.855453,7252400
2/11/2014,166.5,167.5,165,166.5,140.700531,8444000
2/12/2014,167,171,166,170,143.658142,9527100
2/13/2014,169.5,170.5,167.5,168,141.968063,4154600
2/17/2014,168,172,167,171,144.503189,11401700
2/18/2014,170.5,170.5,168.5,169,142.813126,6677700
2/19/2014,169.5,170,168,168.5,142.390579,5390100
2/20/2014,167.5,168,164.5,165,139.432907,10522000
2/21/2014,165.5,166.5,165,166,140.277969,3518800
2/24/2014,165,166.5,165,165,139.432907,3753400
2/25/2014,165.5,166.5,165,166,140.277969,3251100
2/26/2014,165.5,167,165.5,166.5,140.700531,4138800
2/27/2014,166.5,170.5,166.5,169.5,143.235657,6196300
2/28/2014,169,170.5,168.5,170.5,144.080688,6103700
3/3/2014,171,174,170.5,172,145.348267,9546700
3/4/2014,173,174.5,172,173,146.193329,7743900
3/5/2014,174.5,176,174,174.5,147.460892,6764700
3/6/2014,175,176,174,175,147.883423,4291900
3/7/2014,175.5,175.5,174,175,147.883423,3634200
3/10/2014,174.5,175,171,172,145.348267,4769900
3/11/2014,173,174.5,172,173,146.193329,4173200
3/12/2014,173,174,172,172,145.348267,4325200
3/13/2014,172.5,173,171.5,172,145.348267,6520700
3/14/2014,171,172,170,172,145.348267,6589400
3/17/2014,172.5,173.5,171,173.5,146.615845,3499600
3/18/2014,173.5,176,173.5,175,147.883423,7067900
3/19/2014,175.5,178.5,175,175.5,148.305923,10995900
3/20/2014,174.5,175,172,173.5,146.615845,8067900
3/21/2014,173,173.5,171,171.5,144.925705,6940300
3/24/2014,170.5,172,169.5,170.5,144.080688,8305600
3/25/2014,170.5,172,169.5,171,144.503189,5626300
3/26/2014,171.5,173.5,171.5,172.5,145.770798,3021400
3/27/2014,172.5,173,171,171,144.503189,2739300
3/28/2014,172,175.5,171.5,174.5,147.460892,11703500
3/31/2014,175.5,178,175,178,150.418579,7857200
4/1/2014,178.5,180.5,178.5,180,152.108658,13138600
4/2/2014,180,184,180,183.5,155.066315,10359200
4/3/2014,183,183.5,181.5,181.5,153.37619,9590300
4/4/2014,182.5,185,181.5,184.5,155.911392,7268000
4/8/2014,185.5,185.5,182,182,153.798752,4829300
4/9/2014,182.5,184.5,182,184.5,155.911392,6680600
4/10/2014,184,185.5,183,185,156.333862,7793200
4/11/2014,182,182,180,181,155.474915,5652200
4/16/2014,181,184,181,183,157.192841,6981500
4/17/2014,183,189,182.5,188,161.487747,8948700
4/18/2014,188,189.5,187,188,161.487747,4566700
4/21/2014,189,192.5,188,190.5,163.635208,6636400
4/22/2014,191,195,189.5,194,166.641632,9146900
4/23/2014,196.5,197,195,196.5,168.789078,8098700
4/24/2014,195.5,195.5,190.5,191.5,164.494171,6386800
4/25/2014,190,191,186.5,186.5,160.199295,5846500
4/28/2014,187.5,191,187,189.5,162.776215,784700
4/29/2014,189,191.5,187.5,191,164.064682,7077400
4/30/2014,191.5,192.5,190,191.5,164.494171,6887900
5/2/2014,192,193.5,192,192,164.923676,7394300
5/6/2014,193.5,194,192,192.5,165.353134,3395200
5/7/2014,190.5,192.5,190,191.5,164.494171,6269600
5/8/2014,191.5,192,186.5,187.5,161.058273,10289300
5/9/2014,187,189,186.5,189,162.34671,6158700
5/12/2014,188.5,189,187,188,161.487747,5332600
5/14/2014,191,192,190,192,164.923676,11890800
5/15/2014,191.5,193,191,193,165.782654,5160900
5/16/2014,192.5,195.5,191.5,195,167.500595,9407700
5/19/2014,195,196,194,195.5,167.930084,3615400
5/20/2014,193,193.5,190.5,191,164.064682,12758000
5/21/2014,190.5,191.5,189.5,190.5,163.635208,8465900
5/22/2014,191.5,193,191.5,192,164.923676,6345200
5/23/2014,187,189,186.5,189,162.34671,16398100
5/26/2014,189,189,183.5,184,158.051834,13922300
